name,code,long,gclat,gdlat,height,map
Greenwich,000,0.0,51.28971,51.477375,65.79333,http://www.openstreetmap.org?zoom=17&lon=0&lat=51.477375
Crowborough,001,0.1542,50.863564,51.051834,267.70538,http://www.openstreetmap.org?zoom=17&lon=0.1542&lat=51.051834
Rayleigh,002,0.62,51.465664,51.652977,3041.1992,http://www.openstreetmap.org?zoom=17&lon=0.62&lat=51.652977
Montpellier,003,3.9,43.458416,43.650524,2466.5757,http://www.openstreetmap.org?zoom=17&lon=3.9&lat=43.650524
Toulouse,004,1.4625,43.420116,43.612278,177.12323,http://www.openstreetmap.org?zoom=17&lon=1.4625&lat=43.612278
Meudon,005,2.231,48.614258,48.805065,157.55765,http://www.openstreetmap.org?zoom=17&lon=2.231&lat=48.805065
"Fabra Observatory, Barcelona",006,2.12417,41.22769,41.41852,372.46796,http://www.openstreetmap.org?zoom=17&lon=2.12417&lat=41.41852
Paris,007,2.33675,48.645596,48.83638,60.16099,http://www.openstreetmap.org?zoom=17&lon=2.33675&lat=48.83638
Algiers-Bouzareah,008,3.0355,36.617046,36.80146,321.6269,http://www.openstreetmap.org?zoom=17&lon=3.0355&lat=36.80146
Berne-Uecht,009,7.4417,46.76177,46.95379,-107.40887,http://www.openstreetmap.org?zoom=17&lon=7.4417&lat=46.95379
Caussols,010,6.92124,43.55877,43.750942,1266.102,http://www.openstreetmap.org?zoom=17&lon=6.92124&lat=43.750942
Wetzikon,011,8.7975,47.127495,47.319324,551.22485,http://www.openstreetmap.org?zoom=17&lon=8.7975&lat=47.319324
Uccle,012,4.35821,50.609978,50.798595,105.18063,http://www.openstreetmap.org?zoom=17&lon=4.35821&lat=50.798595
Leiden,013,4.48397,51.968338,52.154945,1.7668241,http://www.openstreetmap.org?zoom=17&lon=4.48397&lat=52.154945
Marseilles,014,5.39509,43.11382,43.305866,68.768585,http://www.openstreetmap.org?zoom=17&lon=5.39509&lat=43.305866
Utrecht,015,5.12929,51.89874,52.08546,4.0946255,http://www.openstreetmap.org?zoom=17&lon=5.12929&lat=52.08546
Besancon,016,5.9893,47.05813,47.25,288.8501,http://www.openstreetmap.org?zoom=17&lon=5.9893&lat=47.25
Hoher List,017,6.84924,49.971977,50.161385,504.01694,http://www.openstreetmap.org?zoom=17&lon=6.84924&lat=50.161385
Dusseldorf-Bilk,018,6.7612,51.01893,51.20699,34.864666,http://www.openstreetmap.org?zoom=17&lon=6.7612&lat=51.20699
Neuchatel,019,6.9575,46.80545,46.997437,511.24295,http://www.openstreetmap.org?zoom=17&lon=6.9575&lat=46.997437
Nice,020,7.3004,43.529346,43.72154,390.8446,http://www.openstreetmap.org?zoom=17&lon=7.3004&lat=43.72154
Karlsruhe,021,8.3855,48.83341,49.02402,124.055405,http://www.openstreetmap.org?zoom=17&lon=8.3855&lat=49.02402
Pino Torinese,022,7.7748,44.845398,45.037804,656.432,http://www.openstreetmap.org?zoom=17&lon=7.7748&lat=45.037804
Wiesbaden,023,8.2625,49.891674,50.081184,211.61679,http://www.openstreetmap.org?zoom=17&lon=8.2625&lat=50.081184
Heidelberg-Konigstuhl,024,8.7216,49.208374,49.398617,568.92175,http://www.openstreetmap.org?zoom=17&lon=8.7216&lat=49.398617
Stuttgart,025,9.1965,48.5917,48.782524,334.84625,http://www.openstreetmap.org?zoom=17&lon=9.1965&lat=48.782524
Berne-Zimmerwald,026,7.46511,46.685074,46.877098,898.0341,http://www.openstreetmap.org?zoom=17&lon=7.46511&lat=46.877098
Milan,027,9.1912,45.27393,45.466335,144.35938,http://www.openstreetmap.org?zoom=17&lon=9.1912&lat=45.466335
Wurzburg,028,9.9363,49.601192,49.79103,185.62999,http://www.openstreetmap.org?zoom=17&lon=9.9363&lat=49.79103
Hamburg-Bergedorf,029,10.2406,53.29547,53.479706,19.850056,http://www.openstreetmap.org?zoom=17&lon=10.2406&lat=53.479706
"Arcetri Observatory, Florence",030,11.25446,43.558437,43.750645,166.11435,http://www.openstreetmap.org?zoom=17&lon=11.25446&lat=43.750645
Sonneberg,031,11.18985,50.188248,50.37739,627.7347,http://www.openstreetmap.org?zoom=17&lon=11.18985&lat=50.37739
Jena,032,11.58295,50.73681,50.925255,150.92445,http://www.openstreetmap.org?zoom=17&lon=11.58295&lat=50.925255
"Karl Schwarzschild Observatory, Tautenburg",033,11.71124,50.79177,50.980137,347.7043,http://www.openstreetmap.org?zoom=17&lon=11.71124&lat=50.980137
"Monte Mario Observatory, Rome",034,12.45246,41.731205,41.922447,102.40818,http://www.openstreetmap.org?zoom=17&lon=12.45246&lat=41.922447
Copenhagen,035,12.57592,55.507458,55.686867,10.164214,http://www.openstreetmap.org?zoom=17&lon=12.57592&lat=55.686867
Castel Gandolfo,036,12.6504,41.556366,41.747467,431.87097,http://www.openstreetmap.org?zoom=17&lon=12.6504&lat=41.747467
"Collurania Observatory, Teramo",037,13.7333,42.46575,42.657467,427.65372,http://www.openstreetmap.org?zoom=17&lon=13.7333&lat=42.657467
Trieste,038,13.7704,45.450882,45.64327,64.17388,http://www.openstreetmap.org?zoom=17&lon=13.7704&lat=45.64327
Lund,039,13.1874,55.51848,55.69786,16.42764,http://www.openstreetmap.org?zoom=17&lon=13.1874&lat=55.69786
"Lohrmann Institute, Dresden",040,13.7298,50.842842,51.031143,160.1711,http://www.openstreetmap.org?zoom=17&lon=13.7298&lat=51.031143
Innsbruck,041,11.38083,47.076298,47.26815,612.20154,http://www.openstreetmap.org?zoom=17&lon=11.38083&lat=47.26815
